Tik;Share
SBER;0.138400
SBERP;0.011600
LKOH;0.150000
GAZP;0.147700
GMKN;0.072400
NVTK;0.058800
TATN;0.046200
TATNP;0.006900
ROSN;0.039700
SNGS;0.019600
SNGSP;0.019300
YNDX;0.026400
MGNT;0.023300
ALRS;0.020300
MTSS;0.019400
FIVE;0.015900
CHMF;0.014700
NLMK;0.013000
IRAO;0.011500
POLY;0.011800
VTBR;0.010700
MOEX;0.010300
PLZL;0.010000
TRNFP;0.007200
PHOR;0.007100
RUAL;0.006600
MAGN;0.006800
RTKM;0.005100
RTKMP;0.000700
AFLT;0.003800
ENPL;0.003800
PIKK;0.003600
HYDR;0.003400
FEES;0.003300
RNFT;0.002900
BANEP;0.003000
AFKS;0.002900
LNTA;0.002400
UPRO;0.002300
CBOM;0.002300
MTLR;0.001400
MTLRP;0.000700
SFIN;0.002000
AGRO;0.002000
MVID;0.002000
RSTI;0.001800
RSTIP;0.000100
AKRN;0.002000
DSKY;0.001900
LSRG;0.001900
RASP;0.001700
VSMO;0.001400
TRMK;0.001300
UWGN;0.001300
NMTP;0.001200
MSNG;0.001100
ENRU;0.000800
BSPB;0.000800
MRKP;0.000700
OGKB;0.000800
MGTSP;0.000700
LSNGP;0.000600
KBTK;0.000600
TGKA;0.000500
QIWI;0.000500
NKNCP;0.000500
IRGZ;0.000500
PRTK;0.000500
MRKC;0.000400
MRKV;0.000300
SVAV;0.000300
FESH;0.000300
MSRS;0.000300
SELG;0.000200
SELGP;0.000000
NKHP;0.000300
MRKU;0.000200
DVEC;0.000200
OBUV;0.000200
MRKY;0.000100
MRKZ;0.000100
MSTT;0.000100
GAZA;0.000100
GAZAP;0.000000
LNZL;0.000000
LNZLP;0.000100
TGKN;0.000100
KZOSP;0.000100
TGKD;0.000100
KRKNP;0.000100
TGKB;0.000100
APTK;0.000100
CNTLP;0.000000
CHMK;0.000050
ROLO;0.000040
BRZL;0.000040
TTLK;0.000040
AMEZ;0.000040
RBCM;0.000030
HIMCP;0.000030
