<DATE>,<TIME>,<LAST>,<VOL>,<ID>,<OPER>
20160302,000000,1547.5000000,1547.5000000,1525.5000000,1529.0000000,102
20160303,000000,1545.5000000,1545.5000000,1537.0000000,1537.0000000,41
20160304,000000,1554.0000000,1566.0000000,1550.0000000,1566.0000000,197
20160307,000000,1578.0000000,1594.0000000,1578.0000000,1593.0000000,505
20160309,000000,1587.5000000,1595.5000000,1574.0000000,1579.5000000,836
20160310,000000,1581.0000000,1587.0000000,1571.0000000,1571.0000000,1569
20160311,000000,1579.5000000,1579.5000000,1567.0000000,1567.0000000,5214
20160314,000000,1569.0000000,1569.0000000,1555.0000000,1558.5000000,474
20160315,000000,1570.0000000,1570.0000000,1548.0000000,1554.0000000,2219
20160316,000000,1558.0000000,1576.0000000,1551.0000000,1555.0000000,627
20160317,000000,1575.5000000,1585.0000000,1575.0000000,1582.5000000,928
20160318,000000,1598.0000000,1609.0000000,1590.5000000,1602.5000000,1934
20160321,000000,1602.5000000,1604.0000000,1587.5000000,1599.5000000,12008
20160322,000000,1612.5000000,1612.5000000,1589.0000000,1591.5000000,150
20160323,000000,1596.0000000,1600.0000000,1574.0000000,1574.0000000,445
20160324,000000,1574.0000000,1574.0000000,1561.0000000,1561.5000000,512
20160325,000000,1573.5000000,1574.5000000,1566.0000000,1566.0000000,74
20160328,000000,1577.0000000,1577.0000000,1546.5000000,1550.0000000,1691
20160329,000000,1553.0000000,1553.0000000,1535.0000000,1542.0000000,1004
20160330,000000,1557.0000000,1573.0000000,1550.0000000,1570.5000000,3003
20160331,000000,1569.5000000,1569.5000000,1569.5000000,1569.5000000,1
20160401,000000,1554.0000000,1559.0000000,1541.0000000,1559.0000000,45
20160404,000000,1560.0000000,1567.0000000,1560.0000000,1567.0000000,33
20160405,000000,1553.5000000,1556.5000000,1553.5000000,1554.0000000,112
20160406,000000,1560.5000000,1564.0000000,1558.5000000,1559.5000000,126
20160407,000000,1558.5000000,1558.5000000,1558.0000000,1558.0000000,22
20160408,000000,1583.0000000,1583.0000000,1558.5000000,1575.0000000,108
20160411,000000,1577.0000000,1598.5000000,1570.0000000,1598.5000000,2237
20160412,000000,1599.5000000,1601.0000000,1589.0000000,1599.5000000,1212
20160413,000000,1603.5000000,1628.5000000,1603.5000000,1628.5000000,173
20160414,000000,1638.5000000,1638.5000000,1603.0000000,1603.0000000,298
20160415,000000,1606.0000000,1607.0000000,1601.5000000,1601.5000000,27
20160418,000000,1587.5000000,1587.5000000,1572.5000000,1582.0000000,42
20160419,000000,1618.0000000,1648.0000000,1594.5000000,1623.0000000,142
20160420,000000,1634.0000000,1649.0000000,1629.0000000,1646.0000000,230
20160421,000000,1655.0000000,1655.0000000,1630.5000000,1638.0000000,123
20160422,000000,1640.5000000,1650.0000000,1632.0000000,1650.0000000,255
20160425,000000,1642.0000000,1647.0000000,1635.0000000,1642.0000000,325
20160426,000000,1635.0000000,1635.5000000,1633.5000000,1635.5000000,427
20160427,000000,1643.5000000,1643.5000000,1634.5000000,1639.0000000,7
20160429,000000,1655.0000000,1658.0000000,1645.0000000,1645.0000000,332
20160504,000000,1647.0000000,1647.0000000,1611.0000000,1611.0000000,233
20160505,000000,1615.0000000,1615.0000000,1603.5000000,1606.5000000,127
20160506,000000,1596.5000000,1603.5000000,1592.5000000,1595.5000000,148
20160510,000000,1590.5000000,1605.0000000,1576.5000000,1576.5000000,203
20160511,000000,1592.0000000,1606.0000000,1592.0000000,1606.0000000,12
20160512,000000,1618.0000000,1618.0000000,1607.5000000,1607.5000000,282
20160513,000000,1596.0000000,1597.0000000,1588.5000000,1597.0000000,133
20160516,000000,1608.0000000,1628.0000000,1608.0000000,1626.5000000,46
20160517,000000,1593.0000000,1593.0000000,1584.0000000,1591.0000000,12
20160518,000000,1602.5000000,1610.0000000,1602.5000000,1609.0000000,41
20160519,000000,1584.0000000,1596.0000000,1584.0000000,1591.5000000,61
20160520,000000,1595.5000000,1595.5000000,1577.5000000,1577.5000000,34
20160523,000000,1575.0000000,1575.0000000,1558.5000000,1570.0000000,3269
20160524,000000,1566.5000000,1572.0000000,1566.5000000,1572.0000000,3330
20160525,000000,1592.0000000,1655.0000000,1547.5000000,1587.0000000,172
20160526,000000,1584.0000000,1614.0000000,1584.0000000,1602.5000000,61
20160527,000000,1615.0000000,1615.0000000,1600.0000000,1610.5000000,372
20160530,000000,1619.5000000,1620.5000000,1613.5000000,1620.5000000,32
20160531,000000,1614.0000000,1615.0000000,1592.5000000,1592.5000000,22
20160601,000000,1590.5000000,1591.5000000,1584.5000000,1584.5000000,21
20160602,000000,1581.5000000,1581.5000000,1570.5000000,1574.0000000,4044
20160603,000000,1586.0000000,1593.0000000,1571.0000000,1571.0000000,4411
20160606,000000,1593.0000000,1605.0000000,1593.0000000,1605.0000000,38
20160607,000000,1612.0000000,1633.0000000,1612.0000000,1633.0000000,17
20160608,000000,1632.5000000,1640.0000000,1625.0000000,1626.0000000,231
20160609,000000,1640.0000000,1645.5000000,1621.0000000,1621.0000000,102
20160610,000000,1612.0000000,1612.0000000,1601.0000000,1601.0000000,4
20160614,000000,1593.0000000,1593.0000000,1587.0000000,1593.0000000,105
20160615,000000,1598.5000000,1603.0000000,1594.0000000,1599.5000000,38
20160616,000000,1584.5000000,1584.5000000,1568.0000000,1568.0000000,37
20160617,000000,1596.0000000,1602.5000000,1585.5000000,1585.5000000,58
20160620,000000,1602.5000000,1609.0000000,1601.0000000,1607.0000000,200
20160621,000000,1600.0000000,1613.0000000,1599.0000000,1609.5000000,50
20160622,000000,1610.0000000,1610.0000000,1610.0000000,1610.0000000,23
20160623,000000,1598.5000000,1619.0000000,1596.0000000,1619.0000000,21
20160624,000000,1629.0000000,1629.0000000,1581.0000000,1585.5000000,128
20160627,000000,1582.0000000,1582.0000000,1559.5000000,1559.5000000,135
20160628,000000,1573.0000000,1575.5000000,1566.0000000,1575.5000000,87
20160629,000000,1580.5000000,1594.0000000,1579.5000000,1594.0000000,169
20160630,000000,1602.5000000,1605.0000000,1587.5000000,1605.0000000,65
20160701,000000,1596.0000000,1607.0000000,1594.0000000,1605.5000000,195
20160704,000000,1615.5000000,1619.0000000,1613.5000000,1615.0000000,150
20160705,000000,1602.0000000,1608.0000000,1602.0000000,1608.0000000,128
20160706,000000,1597.5000000,1618.5000000,1585.5000000,1618.5000000,222
20160707,000000,1605.5000000,1605.5000000,1603.5000000,1603.5000000,84
20160708,000000,1587.0000000,1607.0000000,1580.0000000,1607.0000000,120
20160711,000000,1610.0000000,1623.5000000,1610.0000000,1623.0000000,85
20160712,000000,1631.0000000,1655.5000000,1631.0000000,1655.5000000,74
20160713,000000,1662.0000000,1662.0000000,1650.5000000,1650.5000000,144
20160714,000000,1651.0000000,1660.5000000,1651.0000000,1660.5000000,2225
20160715,000000,1651.0000000,1662.5000000,1651.0000000,1653.0000000,52
20160718,000000,1671.0000000,1675.0000000,1650.5000000,1652.0000000,269
20160719,000000,1646.5000000,1646.5000000,1635.5000000,1635.5000000,40
20160720,000000,1640.5000000,1640.5000000,1638.5000000,1638.5000000,600
20160721,000000,1655.5000000,1660.5000000,1655.5000000,1660.5000000,25
20160722,000000,1666.5000000,1670.5000000,1665.0000000,1670.5000000,213
20160725,000000,1675.5000000,1675.5000000,1663.5000000,1663.5000000,105
20160726,000000,1664.0000000,1668.0000000,1656.0000000,1658.0000000,1640
20160727,000000,1670.0000000,1670.0000000,1669.0000000,1670.0000000,19
20160728,000000,1673.5000000,1681.5000000,1673.5000000,1681.5000000,14
20160729,000000,1683.5000000,1683.5000000,1671.0000000,1679.0000000,620
20160801,000000,1689.0000000,1689.0000000,1680.0000000,1680.0000000,14
20160802,000000,1668.0000000,1668.0000000,1649.5000000,1649.5000000,114
20160803,000000,1642.5000000,1653.0000000,1639.5000000,1653.0000000,300
20160804,000000,1664.5000000,1677.0000000,1660.0000000,1677.0000000,65
20160805,000000,1675.0000000,1675.0000000,1663.5000000,1667.0000000,50
20160808,000000,1682.0000000,1687.5000000,1682.0000000,1683.0000000,66
20160809,000000,1690.5000000,1691.5000000,1690.5000000,1691.5000000,28
20160810,000000,1687.0000000,1687.0000000,1680.0000000,1680.0000000,21
20160811,000000,1672.5000000,1676.5000000,1669.5000000,1676.5000000,13
20160812,000000,1693.5000000,1696.0000000,1690.0000000,1690.0000000,56
20160815,000000,1704.5000000,1707.0000000,1698.0000000,1704.0000000,120
20160816,000000,1701.5000000,1712.0000000,1701.0000000,1702.0000000,39
20160817,000000,1692.0000000,1700.0000000,1691.5000000,1695.0000000,233
20160818,000000,1710.0000000,1710.0000000,1694.5000000,1699.5000000,286
20160819,000000,1698.0000000,1698.0000000,1690.0000000,1692.5000000,98
20160822,000000,1686.5000000,1702.5000000,1686.5000000,1702.5000000,283
20160823,000000,1704.0000000,1714.0000000,1704.0000000,1713.5000000,73
20160824,000000,1707.0000000,1707.0000000,1702.0000000,1704.0000000,70
20160825,000000,1703.0000000,1703.0000000,1696.5000000,1699.5000000,66
20160826,000000,1714.5000000,1716.5000000,1705.0000000,1716.5000000,76
20160829,000000,1702.5000000,1704.0000000,1698.0000000,1703.0000000,75
20160830,000000,1716.5000000,1718.0000000,1714.5000000,1716.0000000,192
20160831,000000,1707.0000000,1708.0000000,1695.5000000,1695.5000000,70
20160901,000000,1697.5000000,1705.0000000,1697.5000000,1705.0000000,176
20160902,000000,1712.0000000,1723.5000000,1711.0000000,1721.0000000,178
20160905,000000,1734.5000000,1739.0000000,1729.0000000,1739.0000000,268
20160906,000000,1742.0000000,1754.0000000,1739.5000000,1749.0000000,80
20160907,000000,1767.0000000,1773.0000000,1763.5000000,1765.5000000,217
20160908,000000,1778.5000000,1778.5000000,1765.0000000,1765.0000000,213
20160909,000000,1754.0000000,1756.0000000,1751.5000000,1754.0000000,256
20160912,000000,1733.0000000,1736.0000000,1730.0000000,1735.0000000,125
20160913,000000,1743.5000000,1744.5000000,1725.0000000,1728.0000000,284
20160914,000000,1722.5000000,1730.0000000,1722.5000000,1728.0000000,38
20160915,000000,1723.0000000,1723.0000000,1710.0000000,1712.5000000,72
20160916,000000,1718.0000000,1725.5000000,1698.0000000,1698.0000000,166
20160919,000000,1716.0000000,1716.0000000,1708.5000000,1712.0000000,45
20160920,000000,1702.5000000,1710.0000000,1702.5000000,1710.0000000,15
20160921,000000,1726.5000000,1727.5000000,1721.5000000,1727.5000000,16
20160922,000000,1732.5000000,1750.0000000,1731.0000000,1750.0000000,75
20160923,000000,1740.5000000,1743.5000000,1731.0000000,1736.5000000,59
20160926,000000,1728.0000000,1738.5000000,1728.0000000,1738.5000000,30
20160927,000000,1718.0000000,1719.0000000,1712.5000000,1712.5000000,33
20160928,000000,1720.5000000,1720.5000000,1713.0000000,1713.0000000,73
20160929,000000,1743.0000000,1743.0000000,1727.0000000,1730.5000000,33
20160930,000000,1720.0000000,1720.0000000,1708.5000000,1710.0000000,149
20161003,000000,1698.5000000,1720.0000000,1698.5000000,1711.0000000,1014
20161004,000000,1710.5000000,1718.5000000,1705.5000000,1708.5000000,158
20161005,000000,1705.5000000,1708.5000000,1694.0000000,1704.0000000,267
20161006,000000,1703.5000000,1711.0000000,1703.5000000,1710.0000000,23
20161007,000000,1718.5000000,1720.0000000,1711.0000000,1711.0000000,252
20161010,000000,1719.5000000,1740.5000000,1719.5000000,1740.5000000,60
20161011,000000,1724.5000000,1738.0000000,1724.5000000,1730.5000000,83
20161012,000000,1734.0000000,1738.5000000,1726.0000000,1726.0000000,47
20161013,000000,1715.0000000,1718.5000000,1709.0000000,1712.0000000,48
20161014,000000,1713.0000000,1713.0000000,1703.5000000,1703.5000000,26
20161017,000000,1700.0000000,1700.5000000,1697.0000000,1700.0000000,17
20161018,000000,1705.5000000,1707.0000000,1704.5000000,1704.5000000,35
20161019,000000,1705.5000000,1705.5000000,1703.5000000,1703.5000000,14
20161020,000000,1700.0000000,1700.5000000,1700.0000000,1700.0000000,32
20161021,000000,1687.0000000,1698.5000000,1687.0000000,1698.5000000,58
20161024,000000,1701.0000000,1701.0000000,1698.0000000,1699.0000000,12
20161025,000000,1703.5000000,1718.0000000,1703.5000000,1718.0000000,2
20161026,000000,1712.5000000,1712.5000000,1708.5000000,1711.5000000,20
20161027,000000,1712.0000000,1715.0000000,1712.0000000,1712.5000000,52
20161028,000000,1714.0000000,1714.0000000,1711.0000000,1712.0000000,304
20161031,000000,1715.0000000,1724.5000000,1714.0000000,1724.5000000,98
