Date;Price;Open;Max;Min;Up/down
20.03.2000;1378.96;1390.89;1392.86;1375.12;-1.45%
21.03.2000;1357.04;1358.68;1367.2;1357.04;-1.59%
22.03.2000;1419.32;1374.77;1420.27;1374.77;4.59%
23.03.2000;1477.3;1481.95;1512.99;1477.3;4.09%
24.03.2000;1554.47;1526.32;1554.47;1518.21;5.22%
27.03.2000;1528.02;1567.51;1630.19;1528.02;-1.70%
28.03.2000;1463.46;1484.62;1502.35;1463.46;-4.23%
29.03.2000;1478.73;1448.54;1478.73;1448.54;1.04%
30.03.2000;1423.47;1464.44;1464.44;1419.38;-3.74%
31.03.2000;1483.97;1413.97;1483.97;1413.97;4.25%
03.04.2000;1454.89;1495.17;1495.17;1453;-1.96%
04.04.2000;1476.7;1460.18;1484.37;1460.18;1.50%
05.04.2000;1387.78;1442.87;1442.87;1377.17;-6.02%
06.04.2000;1436.51;1414.19;1436.97;1413.59;3.51%
07.04.2000;1427;1413.37;1427;1407.92;-0.66%
10.04.2000;1476.79;1430.82;1476.79;1430.82;3.49%
11.04.2000;1431.29;1439.06;1450.51;1431.29;-3.08%
12.04.2000;1446;1440.94;1449.82;1440.56;1.03%
13.04.2000;1426.02;1427.08;1433.57;1425.5;-1.38%
14.04.2000;1415.75;1423.47;1452.96;1415.75;-0.72%
17.04.2000;1303.42;1312.21;1320.13;1303.42;-7.93%
18.04.2000;1305.24;1351.47;1351.47;1300.71;0.14%
19.04.2000;1324.31;1353.16;1353.16;1317.76;1.46%
20.04.2000;1341.97;1319.87;1341.97;1319.87;1.33%
21.04.2000;1371.27;1366.84;1371.27;1362.01;2.18%
24.04.2000;1323.73;1348.3;1348.3;1323.73;-3.47%
25.04.2000;1366.86;1354.72;1366.86;1354.72;3.26%
26.04.2000;1418.92;1400.78;1428.01;1400.78;3.81%
27.04.2000;1395.13;1431.61;1438.54;1395.13;-1.68%
28.04.2000;1450.37;1439.19;1450.37;1430.91;3.96%
03.05.2000;1452.62;1460.75;1461.93;1452.62;0.16%
04.05.2000;1438.36;1440.7;1446.67;1438.36;-0.98%
05.05.2000;1437.35;1444.14;1450.74;1436.28;-0.07%
06.05.2000;1460.23;1451.51;1462.63;1451.51;1.59%
10.05.2000;1448.62;1468.63;1469.51;1448.62;-0.80%
11.05.2000;1420.69;1416.2;1423.11;1408.84;-1.93%
12.05.2000;1398;1411.7;1411.7;1388.42;-1.60%
15.05.2000;1369.96;1378.59;1380.3;1360.75;-2.01%
16.05.2000;1399.13;1377.57;1405.14;1377.57;2.13%
17.05.2000;1333.7;1384.92;1384.92;1333.7;-4.68%
18.05.2000;1300.8;1292.93;1317.24;1292.93;-2.47%
19.05.2000;1213.61;1283.97;1283.97;1199.29;-6.70%
22.05.2000;1176.31;1179.1;1196.62;1176.31;-3.07%
23.05.2000;1093.46;1156.54;1160.72;1089.97;-7.04%
24.05.2000;1062.73;1015.04;1062.73;995.97;-2.81%
25.05.2000;1129.33;1110.34;1133.69;1110.34;6.27%
26.05.2000;1179.88;1126.52;1193.32;1126.52;4.48%
29.05.2000;1170.4;1200.33;1210.47;1167.81;-0.80%
30.05.2000;1198.84;1171.01;1202.74;1171.01;2.43%
31.05.2000;1208.31;1217.37;1217.37;1200.32;0.79%
01.06.2000;1236.27;1221.44;1237.62;1221.44;2.31%
02.06.2000;1284.82;1236.35;1284.82;1229.79;3.93%
05.06.2000;1280.65;1327.57;1327.57;1280.65;-0.32%
06.06.2000;1241.43;1268.87;1287.11;1241.43;-3.06%
07.06.2000;1234.95;1217.84;1234.95;1198.18;-0.52%
08.06.2000;1270.47;1265.22;1277.73;1264.06;2.88%
09.06.2000;1272.76;1268.93;1278.27;1256.88;0.18%
13.06.2000;1240.71;1257.12;1257.47;1240.71;-2.52%
14.06.2000;1222.71;1220.46;1228.17;1203.51;-1.45%
15.06.2000;1230.63;1225.88;1241.44;1225.88;0.65%
16.06.2000;1238.18;1233.02;1250.19;1233.02;0.61%
19.06.2000;1211.1;1229.33;1246.72;1211.1;-2.19%
20.06.2000;1169.28;1220.55;1220.55;1169.28;-3.45%
21.06.2000;1138.23;1141.9;1141.9;1123.93;-2.66%
22.06.2000;1147.99;1136.49;1147.99;1130.27;0.86%
23.06.2000;1159.14;1133.33;1159.37;1133.33;0.97%
