TRADEDATE;OPEN;HIGH;LOW;CLOSE
03.01.2012;1628.12;1628.12;1628.12;1628.12
04.01.2012;1631.31;1631.31;1631.31;1631.31
05.01.2012;1617.02;1617.02;1617.02;1617.02
06.01.2012;1623.43;1623.43;1623.43;1623.43
09.01.2012;1632.18;1632.18;1632.18;1632.18
10.01.2012;1664.32;1664.32;1664.32;1664.32
11.01.2012;1651.46;1651.46;1651.46;1651.46
12.01.2012;1650.4;1650.4;1650.4;1650.4
13.01.2012;1649.16;1649.16;1649.16;1649.16
16.01.2012;1650.27;1650.27;1650.27;1650.27
17.01.2012;1674.98;1674.98;1674.98;1674.98
18.01.2012;1683.27;1683.27;1683.27;1683.27
19.01.2012;1694.54;1694.54;1694.54;1694.54
20.01.2012;1680.4;1680.4;1680.4;1680.4
23.01.2012;1689.55;1689.55;1689.55;1689.55
24.01.2012;1677.64;1677.64;1677.64;1677.64
25.01.2012;1689.01;1689.01;1689.01;1689.01
26.01.2012;1706.96;1706.96;1706.96;1706.96
27.01.2012;1699.43;1699.43;1699.43;1699.43
30.01.2012;1686.2;1686.2;1686.2;1686.2
31.01.2012;1706.18;1706.18;1706.18;1706.18
01.02.2012;1734.72;1734.72;1734.72;1734.72
02.02.2012;1738.14;1738.14;1738.14;1738.14
03.02.2012;1763.42;1763.42;1763.42;1763.42
06.02.2012;1761.22;1761.22;1761.22;1761.22
07.02.2012;1746.14;1746.14;1746.14;1746.14
08.02.2012;1752.47;1752.47;1752.47;1752.47
09.02.2012;1739.1;1739.1;1739.1;1739.1
10.02.2012;1720.52;1720.52;1720.52;1720.52
13.02.2012;1758.92;1758.92;1758.92;1758.92
14.02.2012;1762.21;1762.21;1762.21;1762.21
15.02.2012;1781.67;1781.67;1781.67;1781.67
16.02.2012;1771.5;1771.5;1771.5;1771.5
17.02.2012;1769.44;1769.44;1769.44;1769.44
20.02.2012;1781.46;1781.46;1781.46;1781.46
21.02.2012;1758.66;1758.66;1758.66;1758.66
22.02.2012;1735.18;1735.18;1735.18;1735.18
24.02.2012;1798.79;1798.79;1798.79;1798.79
27.02.2012;1796.65;1796.65;1796.65;1796.65
28.02.2012;1775.72;1775.72;1775.72;1775.72
29.02.2012;1802.49;1802.49;1802.49;1802.49
