TRADEDATE;OPEN;HIGH;LOW;CLOSE
03.01.2012;10296.66;10296.66;10296.66;10296.66
04.01.2012;10328.87;10328.87;10328.87;10328.87
05.01.2012;10248.31;10248.31;10248.31;10248.31
06.01.2012;10282.52;10282.52;10282.52;10282.52
09.01.2012;10319.86;10319.86;10319.86;10319.86
10.01.2012;10547.7;10547.7;10547.7;10547.7
11.01.2012;10476.67;10476.67;10476.67;10476.67
12.01.2012;10465.84;10465.84;10465.84;10465.84
13.01.2012;10454.63;10454.63;10454.63;10454.63
16.01.2012;10487.95;10487.95;10487.95;10487.95
17.01.2012;10626.52;10626.52;10626.52;10626.52
18.01.2012;10681.75;10681.75;10681.75;10681.75
19.01.2012;10755.84;10755.84;10755.84;10755.84
20.01.2012;10661.27;10661.27;10661.27;10661.27
23.01.2012;10718.93;10718.93;10718.93;10718.93
24.01.2012;10649.17;10649.17;10649.17;10649.17
25.01.2012;10731.15;10731.15;10731.15;10731.15
26.01.2012;10828.82;10828.82;10828.82;10828.82
27.01.2012;10785.69;10785.69;10785.69;10785.69
30.01.2012;10688.6;10688.6;10688.6;10688.6
31.01.2012;10817.97;10817.97;10817.97;10817.97
01.02.2012;10986.56;10986.56;10986.56;10986.56
02.02.2012;11015.77;11015.77;11015.77;11015.77
03.02.2012;11181.4;11181.4;11181.4;11181.4
06.02.2012;11158.81;11158.81;11158.81;11158.81
07.02.2012;11055.73;11055.73;11055.73;11055.73
08.02.2012;11112;11112;11112;11112
09.02.2012;11042.28;11042.28;11042.28;11042.28
10.02.2012;10922.4;10922.4;10922.4;10922.4
13.02.2012;11180.3;11180.3;11180.3;11180.3
14.02.2012;11195.47;11195.47;11195.47;11195.47
15.02.2012;11313.12;11313.12;11313.12;11313.12
16.02.2012;11256.56;11256.56;11256.56;11256.56
17.02.2012;11241.1;11241.1;11241.1;11241.1
20.02.2012;11310.44;11310.44;11310.44;11310.44
21.02.2012;11170.73;11170.73;11170.73;11170.73
22.02.2012;11014.49;11014.49;11014.49;11014.49
24.02.2012;11419.3;11419.3;11419.3;11419.3
27.02.2012;11419.21;11419.21;11419.21;11419.21
28.02.2012;11272.76;11272.76;11272.76;11272.76
29.02.2012;11451.11;11451.11;11451.11;11451.11
01.03.2012;11446.96;11446.96;11446.96;11446.96
02.03.2012;11529.97;11529.97;11529.97;11529.97
05.03.2012;11667.72;11667.72;11667.72;11667.72
06.03.2012;11209.73;11209.73;11209.73;11209.73
07.03.2012;11245.45;11245.45;11245.45;11245.45
11.03.2012;11492.65;11492.65;11492.65;11492.65
12.03.2012;11473.33;11473.33;11473.33;11473.33
13.03.2012;11541.97;11541.97;11541.97;11541.97
14.03.2012;11694.46;11694.46;11694.46;11694.46
15.03.2012;11666.21;11666.21;11666.21;11666.21
16.03.2012;11564.11;11564.11;11564.11;11564.11
19.03.2012;11349.07;11349.07;11349.07;11349.07
20.03.2012;11157.92;11157.92;11157.92;11157.92
21.03.2012;11090.61;11090.61;11090.61;11090.61
22.03.2012;10926.7;10926.7;10926.7;10926.7
23.03.2012;11005.12;11005.12;11005.12;11005.12
26.03.2012;11196.61;11196.61;11196.61;11196.61
27.03.2012;11096.08;11096.08;11096.08;11096.08
28.03.2012;10866.8;10866.8;10866.8;10866.8
29.03.2012;10673.02;10673.02;10673.02;10673.02
30.03.2012;10831.52;10831.52;10831.52;10831.52
02.04.2012;10855.52;10855.52;10855.52;10855.52
03.04.2012;11060.26;11060.26;11060.26;11060.26
04.04.2012;10805.65;10805.65;10805.65;10805.65
05.04.2012;10899.82;10899.82;10899.82;10899.82
06.04.2012;10703.68;10703.68;10703.68;10703.68
09.04.2012;10786.99;10786.99;10786.99;10786.99
10.04.2012;10727.21;10727.21;10727.21;10727.21
11.04.2012;10772.48;10772.48;10772.48;10772.48
12.04.2012;10756.52;10756.52;10756.52;10756.52
13.04.2012;10741.25;10741.25;10741.25;10741.25
16.04.2012;10580.42;10580.42;10580.42;10580.42
17.04.2012;10514.91;10514.91;10514.91;10514.91
18.04.2012;10481.04;10481.04;10481.04;10481.04
19.04.2012;10678.45;10678.45;10678.45;10678.45
20.04.2012;10744.13;10744.13;10744.13;10744.13
23.04.2012;10427.45;10427.45;10427.45;10427.45
24.04.2012;10412.6;10412.6;10412.6;10412.6
25.04.2012;10460.28;10460.28;10460.28;10460.28
26.04.2012;10357.84;10357.84;10357.84;10357.84
27.04.2012;10513.44;10513.44;10513.44;10513.44
28.04.2012;10543.44;10543.44;10543.44;10543.44
02.05.2012;10421.71;10421.71;10421.71;10421.71
03.05.2012;10421.06;10421.06;10421.06;10421.06
04.05.2012;10062.86;10062.86;10062.86;10062.86
05.05.2012;10017.93;10017.93;10017.93;10017.93
07.05.2012;10003.46;10003.46;10003.46;10003.46
08.05.2012;9989.17;9989.17;9989.17;9989.17
10.05.2012;10168.26;10168.26;10168.26;10168.26
11.05.2012;10061.59;10061.59;10061.59;10061.59
12.05.2012;9991.96;9991.96;9991.96;9991.96
14.05.2012;9653.91;9653.91;9653.91;9653.91
15.05.2012;9694.75;9694.75;9694.75;9694.75
16.05.2012;9624.28;9624.28;9624.28;9624.28
17.05.2012;9277.81;9277.81;9277.81;9277.81
18.05.2012;9150.56;9150.56;9150.56;9150.56
21.05.2012;9354.58;9354.58;9354.58;9354.58
22.05.2012;9368.26;9368.26;9368.26;9368.26
23.05.2012;9073.86;9073.86;9073.86;9073.86
24.05.2012;9282.27;9282.27;9282.27;9282.27
25.05.2012;9240.47;9240.47;9240.47;9240.47
28.05.2012;9306.51;9306.51;9306.51;9306.51
29.05.2012;9600.65;9600.65;9600.65;9600.65
30.05.2012;9492.94;9492.94;9492.94;9492.94
31.05.2012;9476.67;9476.67;9476.67;9476.67
01.06.2012;9419.64;9419.64;9419.64;9419.64
04.06.2012;9460.22;9460.22;9460.22;9460.22
05.06.2012;9367.39;9367.39;9367.39;9367.39
06.06.2012;9480.27;9480.27;9480.27;9480.27
07.06.2012;9604.22;9604.22;9604.22;9604.22
08.06.2012;9554.6;9554.6;9554.6;9554.6
09.06.2012;9598.88;9598.88;9598.88;9598.88
13.06.2012;9653.8;9653.8;9653.8;9653.8
14.06.2012;9650.9;9650.9;9650.9;9650.9
15.06.2012;9859.82;9859.82;9859.82;9859.82
18.06.2012;9961.12;9961.12;9961.12;9961.12
19.06.2012;10007.62;10007.62;10007.62;10007.62
20.06.2012;9879.27;9879.27;9879.27;9879.27
21.06.2012;9811.86;9811.86;9811.86;9811.86
22.06.2012;9716.09;9716.09;9716.09;9716.09
25.06.2012;9592.61;9592.61;9592.61;9592.61
26.06.2012;9684.19;9684.19;9684.19;9684.19
27.06.2012;9846.46;9846.46;9846.46;9846.46
28.06.2012;9697.88;9697.88;9697.88;9697.88
29.06.2012;9992.66;9992.66;9992.66;9992.66
02.07.2012;10079.81;10079.81;10079.81;10079.81
03.07.2012;10381.24;10381.24;10381.24;10381.24
04.07.2012;10430.37;10430.37;10430.37;10430.37
05.07.2012;10379.54;10379.54;10379.54;10379.54
06.07.2012;10235.07;10235.07;10235.07;10235.07
09.07.2012;10254.8;10254.8;10254.8;10254.8
10.07.2012;10321.64;10321.64;10321.64;10321.64
11.07.2012;10190.53;10190.53;10190.53;10190.53
12.07.2012;10098.1;10098.1;10098.1;10098.1
13.07.2012;10228.72;10228.72;10228.72;10228.72
16.07.2012;10253.74;10253.74;10253.74;10253.74
17.07.2012;10319.88;10319.88;10319.88;10319.88
18.07.2012;10288.99;10288.99;10288.99;10288.99
19.07.2012;10330.12;10330.12;10330.12;10330.12
20.07.2012;10195.02;10195.02;10195.02;10195.02
23.07.2012;9896.16;9896.16;9896.16;9896.16
24.07.2012;9809.77;9809.77;9809.77;9809.77
25.07.2012;9830.52;9830.52;9830.52;9830.52
26.07.2012;9934.43;9934.43;9934.43;9934.43
27.07.2012;10098.53;10098.53;10098.53;10098.53
30.07.2012;10244.34;10244.34;10244.34;10244.34
31.07.2012;10090.37;10090.37;10090.37;10090.37
01.08.2012;10111.11;10111.11;10111.11;10111.11
02.08.2012;10010.3;10010.3;10010.3;10010.3
03.08.2012;10182.92;10182.92;10182.92;10182.92
06.08.2012;10309.91;10309.91;10309.91;10309.91
07.08.2012;10429.62;10429.62;10429.62;10429.62
08.08.2012;10414.99;10414.99;10414.99;10414.99
09.08.2012;10452.28;10452.28;10452.28;10452.28
10.08.2012;10369.46;10369.46;10369.46;10369.46
13.08.2012;10455.87;10455.87;10455.87;10455.87
14.08.2012;10529.49;10529.49;10529.49;10529.49
15.08.2012;10416.65;10416.65;10416.65;10416.65
16.08.2012;10453.79;10453.79;10453.79;10453.79
17.08.2012;10410.83;10410.83;10410.83;10410.83
20.08.2012;10305.5;10305.5;10305.5;10305.5
21.08.2012;10456.56;10456.56;10456.56;10456.56
22.08.2012;10428.56;10428.56;10428.56;10428.56
23.08.2012;10477.61;10477.61;10477.61;10477.61
24.08.2012;10472.9;10472.9;10472.9;10472.9
27.08.2012;10533.9;10533.9;10533.9;10533.9
28.08.2012;10567.07;10567.07;10567.07;10567.07
29.08.2012;10652.64;10652.64;10652.64;10652.64
30.08.2012;10568.68;10568.68;10568.68;10568.68
31.08.2012;10487.11;10487.11;10487.11;10487.11
03.09.2012;10632.23;10632.23;10632.23;10632.23
04.09.2012;10603.8;10603.8;10603.8;10603.8
05.09.2012;10485.83;10485.83;10485.83;10485.83
06.09.2012;10724.85;10724.85;10724.85;10724.85
07.09.2012;10865.5;10865.5;10865.5;10865.5
10.09.2012;10909.34;10909.34;10909.34;10909.34
