TRADEDATE;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
06.01.2014;9918.82;10176.9;10186.92;9909.61;15309968183;;;2;5.72E+12;RUB;576586225.5
30.12.2013;10176.9;10118.63;10181.8;10083.44;15997110754;;;2;5.87E+12;RUB;576586225.5
27.12.2013;10118.63;10174.71;10274.39;10115.98;14562525013;;;2;5.83E+12;RUB;576586225.5
26.12.2013;10174.71;10170.07;10212.41;10160.43;9416917937;;;2;5.87E+12;RUB;576586225.5
25.12.2013;10170.07;10210.16;10232.43;10165.88;10034300044;;;2;5.86E+12;RUB;576586225.5
24.12.2013;10210.16;10218.29;10247.48;10169.03;14895582559;;;2;5.89E+12;RUB;576586225.5
23.12.2013;10218.29;10158.35;10231.69;10136.01;23982070754;;;2;5.89E+12;RUB;576586225.5
20.12.2013;10158.35;10150.93;10187.19;10107.43;31974645289;;;2;5.86E+12;RUB;576586225.5
19.12.2013;10150.93;10067.04;10219.83;10052.57;40169295833;;;2;5.85E+12;RUB;576586225.5
18.12.2013;10067.04;10020.15;10076.26;10007.3;27516509258;;;2;5.80E+12;RUB;576586225.5
17.12.2013;10020.15;9954.8;10045.52;9924.38;31089954204;;;2;5.78E+12;RUB;576586225.5
16.12.2013;9954.8;9844.75;9956.31;9794.36;36821813339;;;2;5.95E+12;RUB;598040259.9
13.12.2013;9844.75;9831.45;9886.73;9819.12;29469985157;;;2;5.89E+12;RUB;598040259.9
12.12.2013;9831.45;9947.06;9965.73;9793.02;33417538817;;;2;5.88E+12;RUB;598040259.9
11.12.2013;9947.06;9947.2;9985.88;9854.52;26117177605;;;2;5.95E+12;RUB;598040259.9
10.12.2013;9947.2;9957.79;9997.52;9906.13;29571628928;;;2;5.95E+12;RUB;598040259.9
09.12.2013;9957.79;9830.66;9968.62;9806.48;34067464003;;;2;5.96E+12;RUB;598040259.9
06.12.2013;9830.66;9698.21;9846.53;9663.76;33134682032;;;2;5.88E+12;RUB;598040259.9
05.12.2013;9698.21;9779.92;9834.8;9690.11;35784423669;;;2;5.80E+12;RUB;598040259.9
04.12.2013;9779.92;9862.79;9910.14;9758.05;38642074109;;;2;5.85E+12;RUB;598040259.9
03.12.2013;9862.79;10026.83;10045.21;9819.41;43527771547;;;2;5.90E+12;RUB;598040259.9
02.12.2013;10026.83;10064.13;10125.95;10020.54;21797747464;;;2;6.00E+12;RUB;598040259.9
29.11.2013;10064.13;10061.83;10118.6;9990.06;28383731699;;;2;6.02E+12;RUB;598040259.9
28.11.2013;10061.83;10045.73;10125.24;10043.83;22297494363;;;2;6.02E+12;RUB;1000000
27.11.2013;10045.73;10102.98;10144.97;10023.16;38013246340;;;2;6.01E+12;RUB;1000000
26.11.2013;10102.98;10239.61;10312.82;10082.01;43747777751;;;2;6.04E+12;RUB;1000000
25.11.2013;10239.61;10253.49;10313.52;10233.33;27315239926;;;2;6.12E+12;RUB;1000000
22.11.2013;10253.49;10180.99;10264.71;10167.96;26642586239;;;2;6.13E+12;RUB;1000000
21.11.2013;10180.99;10288.15;10288.15;10158.25;24585327140;;;2;6.09E+12;RUB;1000000
20.11.2013;10288.15;10301.77;10304.85;10194.6;28732738661;;;2;6.15E+12;RUB;1000000
19.11.2013;10301.77;10303.22;10350.88;10264.98;29337982043;;;2;6.16E+12;RUB;1000000
18.11.2013;10303.22;10186.56;10307.76;10186.56;28594790617;;;2;6.16E+12;RUB;1000000
15.11.2013;10186.56;10163.96;10252.71;10143.89;31731336689;;;2;6.09E+12;RUB;1000000
14.11.2013;10163.96;10009.32;10191.59;10004.65;31758424648;;;2;6.08E+12;RUB;1000000
13.11.2013;10009.32;10221.22;10230.8;9992.06;39692043748;;;2;5.99E+12;RUB;1000000
12.11.2013;10221.22;10099.98;10221.22;10088.8;33361852840;;;2;6.11E+12;RUB;1000000
11.11.2013;10099.98;10148.75;10197.69;10095.85;23139356677;;;2;6.04E+12;RUB;1000000
08.11.2013;10148.75;10276.29;10278.5;10126.93;31229354868;;;2;6.07E+12;RUB;1000000
07.11.2013;10276.29;10213.95;10320.03;10189.01;32393021294;;;2;6.15E+12;RUB;1000000
06.11.2013;10213.95;10255.22;10309.55;10203.05;26677618463;;;2;6.11E+12;RUB;1000000
05.11.2013;10255.22;10327.14;10367.2;10250.58;23353751658;;;2;6.13E+12;RUB;1000000
01.11.2013;10327.14;10278.04;10340.74;10251.91;24134935753;;;2;6.18E+12;RUB;1000000
31.10.2013;10278.04;10301.38;10319.28;10179.83;32297512492;;;2;6.15E+12;RUB;1000000
30.10.2013;10301.38;10305.24;10387.49;10265.62;29932422677;;;2;6.16E+12;RUB;1000000
29.10.2013;10305.24;10280.38;10337.9;10238.74;27840827225;;;2;6.16E+12;RUB;1000000
28.10.2013;10280.38;10229.69;10338.95;10221.61;26050892722;;;2;6.15E+12;RUB;1000000
25.10.2013;10229.69;10205.5;10248.65;10142.65;33415994921;;;2;6.12E+12;RUB;1000000
24.10.2013;10205.5;10245.14;10276.38;10171.34;30513400093;;;2;6.10E+12;RUB;1000000
23.10.2013;10245.14;10395.8;10413;10221.17;35315471655;;;2;6.13E+12;RUB;1000000
22.10.2013;10395.8;10437.17;10473.15;10355.03;28735405535;;;2;6.22E+12;RUB;1000000
21.10.2013;10437.17;10435.54;10468.81;10386.57;23176956347;;;2;6.24E+12;RUB;1000000
18.10.2013;10435.54;10291.35;10458.74;10276.68;33439028877;;;2;6.24E+12;RUB;1000000
17.10.2013;10291.35;10428.56;10463.96;10242.59;35555902470;;;2;6.15E+12;RUB;1000000
16.10.2013;10428.56;10429.26;10469.49;10369.07;33456583807;;;2;6.24E+12;RUB;1000000
15.10.2013;10429.26;10272.34;10429.26;10258.12;32949069854;;;2;6.24E+12;RUB;1000000
14.10.2013;10272.34;10300.04;10314.54;10222.8;20971936782;;;2;6.14E+12;RUB;1000000
