BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
RTSI;MOEXBC;05.03.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;11162,33;11030,55;11192,5;11030,55;9868623977,1138;;;2;4986879557958,73;RUB;999999,999999
RTSI;MOEXBC;06.03.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10724,18;11162,33;11169,38;10712,45;10568214843,7103;;;2;4791130414040,92;RUB;999999,999999
RTSI;MOEXBC;07.03.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10758,35;10724,18;10790,33;10609,79;9861273449,0379;;;2;4806396281051,4;RUB;999999,999999
RTSI;MOEXBC;11.03.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10994,85;10758,35;11006,37;10724,33;2650661269,513;;;2;4912055881780,42;RUB;999999,999999
RTSI;MOEXBC;12.03.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10976,36;10994,85;11086,75;10900,87;9913080589,0496;;;2;4903791642422,17;RUB;999999,999999
RTSI;MOEXBC;13.03.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;11042,03;10976,36;11079,23;10914,29;8691731129,6536;;;2;4933131107935,09;RUB;999999,999999
RTSI;MOEXBC;14.03.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;11187,92;11042,03;11203,2;11033,07;10027278733,2185;;;2;4998310170368,13;RUB;999999,999999
RTSI;MOEXBC;15.03.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;11160,89;11187,92;11228,98;11086,86;11678631780,4883;;;2;4986236011703,69;RUB;999999,999999
RTSI;MOEXBC;16.03.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;11063,21;11160,89;11166,58;11004,76;8112326607,1493;;;2;4887709731276,17;RUB;999999,999999
RTSI;MOEXBC;19.03.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10857,49;11063,21;11144,55;10802,31;15293163117,3065;;;2;4796822844655,05;RUB;999999,999999
RTSI;MOEXBC;20.03.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10674,62;10857,49;10902,19;10659,42;10254636621,5278;;;2;4716031499313,82;RUB;999999,999999
RTSI;MOEXBC;21.03.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10610,22;10674,62;10762,6;10553,78;12355772623,5695;;;2;4687579919577,68;RUB;999999,999999
RTSI;MOEXBC;22.03.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10453,41;10610,22;10674,71;10431,82;9750324834,0982;;;2;4618301855107,6;RUB;999999,999999
RTSI;MOEXBC;23.03.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10528,43;10453,41;10533,04;10378,47;8306332400,9173;;;2;4651444482974,42;RUB;999999,999999
RTSI;MOEXBC;26.03.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10711,63;10528,43;10736,93;10517,03;8929105239,7256;;;2;4732382345579,67;RUB;999999,999999
RTSI;MOEXBC;27.03.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10615,45;10711,63;10775,54;10589,17;8772367919,2965;;;2;4689891147367,83;RUB;999999,999999
RTSI;MOEXBC;28.03.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10396,11;10615,45;10643,18;10383,35;10608241563,1652;;;2;4592986686240,07;RUB;999999,999999
RTSI;MOEXBC;29.03.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10210,72;10396,11;10407,62;10169,59;9540286601,2225;;;2;4511079572557,92;RUB;999999,999999
RTSI;MOEXBC;30.03.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10362,35;10210,72;10457,81;10204,84;9481251393,1062;;;2;4578070415062,81;RUB;999999,999999
RTSI;MOEXBC;02.04.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10385,31;10362,35;10487,99;10313,91;7420598210,3726;;;2;4588214683177,8;RUB;999999,999999
RTSI;MOEXBC;03.04.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10581,19;10385,31;10619,12;10383,21;8098460742,9886;;;2;4674751995537,88;RUB;999999,999999
RTSI;MOEXBC;04.04.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10337,6;10581,19;10581,19;10300,78;8829367606,4212;;;2;4567135909474,65;RUB;999999,999999
RTSI;MOEXBC;05.04.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10427,7;10337,6;10438,99;10229,37;8297107044,0002;;;2;4606941131357,27;RUB;999999,999999
RTSI;MOEXBC;06.04.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10240,05;10427,7;10453,82;10226,64;4736725747,2478;;;2;4524036830421,97;RUB;999999,999999
RTSI;MOEXBC;09.04.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10319,75;10240,05;10319,92;10108,79;7274988640,7713;;;2;4559251575107,54;RUB;999999,999999
RTSI;MOEXBC;10.04.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10262,56;10319,75;10395,03;10236,69;8380283163,0194;;;2;4533981188885,76;RUB;999999,999999
RTSI;MOEXBC;11.04.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10305,87;10262,56;10401,53;10119,82;8423212739,9168;;;2;4553116458359,48;RUB;999999,999999
RTSI;MOEXBC;12.04.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10290,6;10305,87;10349,55;10203,04;9047953336,88;;;2;4546370579321,85;RUB;999999,999999
RTSI;MOEXBC;13.04.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10275,99;10290,6;10366,92;10240,25;9070020726,8688;;;2;4539914852534,54;RUB;999999,999999
RTSI;MOEXBC;16.04.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10122,13;10275,99;10308,23;10101,07;7847534629,0346;;;2;4471942294815,09;RUB;999999,999999
RTSI;MOEXBC;17.04.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10059,46;10122,13;10137,97;10007,81;7382137005,7497;;;2;4444254265407,08;RUB;999999,999999
RTSI;MOEXBC;18.04.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10027,05;10059,46;10132,96;10004,97;9373485901,7254;;;2;4429936795616,95;RUB;999999,999999
RTSI;MOEXBC;19.04.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10215,91;10027,05;10254,09;10010,53;11114387320,6971;;;2;4513372372047,36;RUB;999999,999999
RTSI;MOEXBC;20.04.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10278,75;10215,91;10284,35;10132,34;8805861204,6457;;;2;4541134783159,35;RUB;999999,999999
RTSI;MOEXBC;23.04.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9975,79;10278,75;10279,51;9964,9;8138664470,2353;;;2;4407287885009,74;RUB;999999,999999
RTSI;MOEXBC;24.04.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9961,58;9975,79;10059,6;9883,49;6919770803,0811;;;2;4401008979117,06;RUB;999999,999999
RTSI;MOEXBC;25.04.2012;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10007,19;9961,58;10053,51;9957,57;6705499601,7423;;;2;4421161592807,29;RUB;999999,999999
