TRADEDATE;CLOSE;OPEN;HIGH;LOW;VALUE
29.12.2018;1690,65;1688,39;1691,11;1682,23;6204947745,07
28.12.2018;1683,07;1671,75;1690,45;1667,14;24206105995,5
27.12.2018;1661,53;1670,31;1670,31;1656,91;28798071433,3
26.12.2018;1647,67;1641,13;1652,42;1639,59;15544492267,6
25.12.2018;1634,59;1642,3;1642,3;1612,85;19243720931,3
24.12.2018;1657,36;1672,33;1674,23;1652,56;19949555171,2
21.12.2018;1674,95;1671,97;1677,98;1663,35;45083566372,7
20.12.2018;1678,86;1660,24;1678,86;1654,28;48975869061,2
19.12.2018;1682,55;1667,39;1683,44;1663,77;37318785700,7
18.12.2018;1676,71;1670,07;1677,28;1656,94;45284008257,5
17.12.2018;1683,82;1683,3;1698,39;1681,19;30200365624,3
14.12.2018;1688,91;1694,27;1694,37;1679,37;32008249281,2
13.12.2018;1698,25;1694,41;1698,5;1685,26;32665034895,8
12.12.2018;1692,15;1708,62;1710,33;1689,97;34822667539,4
11.12.2018;1709,76;1714,31;1719,34;1700,94;35694115790,2
10.12.2018;1711,43;1725,46;1734,47;1711,29;34037628048,1
07.12.2018;1735,61;1726,07;1741,87;1722,54;43008093210,5
06.12.2018;1721,96;1731,87;1735,4;1707,56;40371297006,1
05.12.2018;1746,05;1723,6;1746,05;1721,3;34431244092,3
04.12.2018;1744,19;1737,88;1748,96;1732,78;40981691339,7
03.12.2018;1742,88;1737,35;1746,09;1735;53080733223,9
30.11.2018;1707,2;1707,02;1715,17;1698,11;60335796407,1
29.11.2018;1712,82;1712,32;1720,86;1697,97;51411963967,1
28.11.2018;1700,28;1672,19;1704,06;1671,66;46333391640,9
27.11.2018;1667,9;1653,1;1672,03;1647,8;42759198332,5
26.11.2018;1645,9;1672,19;1672,19;1629,34;54942834726,7
23.11.2018;1670,88;1686,65;1686,65;1664,59;35147156683,8
22.11.2018;1690,28;1684,77;1692,33;1675,36;26946289871,6
21.11.2018;1682,37;1668,17;1685,46;1667,1;35154499617,5
20.11.2018;1670,58;1687,58;1687,58;1658,24;37600532080,6
19.11.2018;1693,22;1699,06;1705,39;1689,51;31394058541,9
16.11.2018;1692;1702,52;1709,22;1686,47;34766206830,1
15.11.2018;1697,53;1700,85;1708,07;1694,43;36752819576,3
14.11.2018;1695,16;1685,72;1695,74;1671,63;50124832810
13.11.2018;1691,21;1698,05;1708,08;1690,33;44640688084,7
12.11.2018;1704,34;1719,6;1726,2;1702,8;34512511261,5
09.11.2018;1710,51;1725,28;1727,51;1697,83;48912739007,6
08.11.2018;1736,34;1743,03;1747,63;1730,7;44205852428,2
07.11.2018;1740,86;1716,63;1740,86;1702,88;49594271528,7
06.11.2018;1717,04;1702,62;1717,04;1699,33;38547182118,1
02.11.2018;1692,84;1688,09;1698,49;1682,92;40421692106,6
01.11.2018;1679,63;1672,39;1684,5;1661,6;40902650442,8
31.10.2018;1675,21;1649,38;1675,21;1649,38;41145788083,8
30.10.2018;1637,85;1644,78;1650,53;1626,09;33491871940,5
29.10.2018;1650,82;1632,2;1653,89;1629,88;31265816756,2
26.10.2018;1634,25;1656,28;1656,68;1622,11;42795266752,3
25.10.2018;1661,86;1652,93;1665,39;1644,65;47036275882,8
24.10.2018;1665,41;1657,48;1673,9;1645,17;79719658178
23.10.2018;1643,89;1639,11;1655,08;1632,03;53883762354,4
22.10.2018;1645,74;1678,52;1683,18;1644,26;45273674933,9
19.10.2018;1671,79;1692,93;1697,29;1669,69;48486835828,9
18.10.2018;1694,42;1714,39;1717,74;1693,89;31353528362,5
17.10.2018;1717,94;1732,49;1734,33;1710,43;36581988056,8
16.10.2018;1722,97;1705,2;1723,74;1695,15;34531916243,7
15.10.2018;1703,55;1721,15;1721,15;1693,62;28610772436,1
12.10.2018;1713,62;1701,37;1716,74;1700,11;36553053007,8
11.10.2018;1686,83;1691,28;1702,9;1676,82;61686861526,2
10.10.2018;1724,34;1746,93;1750,64;1720,07;43132035265,8
09.10.2018;1743,12;1760,05;1768,19;1743,12;44366950049,6
08.10.2018;1749,89;1753,16;1758,12;1737,33;36159021144,4
05.10.2018;1746,78;1752,23;1757,42;1736,22;44652206768,8
04.10.2018;1756,03;1770,83;1780;1751,77;51659135899,6
03.10.2018;1776,75;1750,23;1782,22;1748,63;51432215766,8
02.10.2018;1744,81;1765,25;1765,25;1742,07;38398113967,2
01.10.2018;1760,3;1768,29;1775,7;1752,77;35210072334,1
28.09.2018;1762,46;1753,92;1762,92;1742,09;52894522371,5
27.09.2018;1761,39;1727,05;1761,39;1725,53;61044278926,3
26.09.2018;1728,01;1741,9;1743,22;1723,58;38186020000,7
25.09.2018;1739,69;1733,22;1739,69;1722,72;42634657209,7
24.09.2018;1729,5;1728,54;1731,03;1720,94;39296846738,4
21.09.2018;1726,65;1710,14;1726,65;1708,54;68131055793
20.09.2018;1708,03;1711,1;1732,01;1708,03;79601316577,4
19.09.2018;1711,02;1711,27;1719,65;1705,09;41860429072,7
18.09.2018;1709,2;1689,42;1709,2;1687,11;43034912553,6
17.09.2018;1688,02;1681,4;1688,02;1671,17;34451409567,3
14.09.2018;1678,1;1676,73;1684,72;1667,9;42924990178,8
13.09.2018;1676,52;1668,27;1687,79;1664,62;59786724347,8
12.09.2018;1664,87;1664,69;1670,86;1656,26;41040341967,9
11.09.2018;1660,35;1658,7;1667,82;1646,19;44604139207,3
10.09.2018;1660,66;1656,38;1660,66;1650,08;35128663037,7
07.09.2018;1651,73;1656,54;1658,39;1640,17;33303145395,1
06.09.2018;1651,15;1653,2;1666,4;1651,15;30205266261,3
05.09.2018;1651,9;1657,75;1665,6;1651,9;26676338247,8
04.09.2018;1662,23;1672;1677,78;1659,56;27069717334,8
03.09.2018;1668,68;1666,59;1673,42;1664,08;17535425327,8
31.08.2018;1668,13;1651,94;1668,13;1643,95;37383001256,4
30.08.2018;1657,71;1676,96;1677,28;1654,38;35141000821,3
29.08.2018;1670,01;1647,8;1670,01;1647,8;29962036871,2
28.08.2018;1647,51;1646,79;1652,31;1644,02;28546284988,8
27.08.2018;1645,21;1625,28;1645,21;1624,22;25957098649,9
24.08.2018;1621,69;1609,03;1622,87;1594,58;45735367362,3
23.08.2018;1608,04;1632,72;1638,59;1606,84;50635692035,6
22.08.2018;1634,33;1634,79;1640,54;1621,9;33971505870,3
21.08.2018;1630,38;1619,15;1630,38;1608,32;26412290670,1
20.08.2018;1616,94;1616,73;1621,84;1612,01;24427774158,2
17.08.2018;1605;1610,21;1614,96;1599,93;25172384431
16.08.2018;1609,52;1615,84;1616,73;1601,42;28311946391,3
15.08.2018;1613,62;1623,54;1623,54;1599,41;41849316204,7
14.08.2018;1625,02;1634,53;1640,76;1615,82;42065574040,9
13.08.2018;1626,99;1608,22;1635,67;1608,17;50483051971,2
