history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
SNDX;RGBITR;2019-03-29;Индекс Мосбиржи гос обл RGBITR;Индекс Мосбиржи государственных облигаций;493,96;494,08;494,91;493,96;11548980384,4;1875;8,19;2;4799290689010;RUB;1,000000
SNDX;RGBITR;2019-03-28;Индекс Мосбиржи гос обл RGBITR;Индекс Мосбиржи государственных облигаций;493,93;495,53;495,53;493,91;17352843752,9;1877;8,19;2;4799000382700;RUB;1,000000
SNDX;RGBITR;2019-03-27;Индекс Мосбиржи гос обл RGBITR;Индекс Мосбиржи государственных облигаций;495,41;496,47;496,67;495,35;12037614833,1;1881;8,12;2;4826950661120;RUB;1,000000
SNDX;RGBITR;2019-03-26;Индекс Мосбиржи гос обл RGBITR;Индекс Мосбиржи государственных облигаций;496,29;496,46;496,67;496,22;19988543952,7;1878;8,08;2;4835499564510;RUB;1,000000
SNDX;RGBITR;2019-03-25;Индекс Мосбиржи гос обл RGBITR;Индекс Мосбиржи государственных облигаций;496,21;495,76;496,21;494,8;15280023054,3;1880;8,08;2;4834767128870;RUB;1,000000
SNDX;RGBITR;2019-03-22;Индекс Мосбиржи гос обл RGBITR;Индекс Мосбиржи государственных облигаций;495,46;496,42;496,68;495,45;11880641046,7;1881;8,1;2;4827429037270;RUB;1,000000
SNDX;RGBITR;2019-03-21;Индекс Мосбиржи гос обл RGBITR;Индекс Мосбиржи государственных облигаций;496,33;494,08;496,49;494,08;12520587179,7;1885;8,06;2;4835932353580;RUB;1,000000
SNDX;RGBITR;2019-03-20;Индекс Мосбиржи гос обл RGBITR;Индекс Мосбиржи государственных облигаций;493,86;494,97;495,09;493,63;12307202541;1880;8,16;2;4811891197410;RUB;1,000000
SNDX;RGBITR;2019-03-19;Индекс Мосбиржи гос обл RGBITR;Индекс Мосбиржи государственных облигаций;494,44;493,48;494,6;493,48;13861793684,7;1883;8,13;2;4817504615450;RUB;1,000000
SNDX;RGBITR;2019-03-18;Индекс Мосбиржи гос обл RGBITR;Индекс Мосбиржи государственных облигаций;493,32;491,64;493,33;491,61;19565625945;1881;8,17;2;4806571692930;RUB;1,000000
SNDX;RGBITR;2019-03-15;Индекс Мосбиржи гос обл RGBITR;Индекс Мосбиржи государственных облигаций;491,34;491,37;491,58;491,11;14857067642,6;1880;8,24;2;4787232125380;RUB;1,000000
SNDX;RGBITR;2019-03-14;Индекс Мосбиржи гос обл RGBITR;Индекс Мосбиржи государственных облигаций;491,14;491,24;491,47;491,11;13747606580,2;1881;8,25;2;4785326327230;RUB;1,000000
SNDX;RGBITR;2019-03-13;Индекс Мосбиржи гос обл RGBITR;Индекс Мосбиржи государственных облигаций;491,01;490,82;491,15;490,73;11744824002,9;1882;8,25;2;4784090507270;RUB;1,000000
SNDX;RGBITR;2019-03-12;Индекс Мосбиржи гос обл RGBITR;Индекс Мосбиржи государственных облигаций;490,71;490,3;490,71;490,02;8738790808,71;1883;8,25;2;4781154292730;RUB;1,000000
SNDX;RGBITR;2019-03-11;Индекс Мосбиржи гос обл RGBITR;Индекс Мосбиржи государственных облигаций;490,48;490,31;490,49;489,98;4912092410,4;1884;8,26;2;4778931316980;RUB;1,000000
SNDX;RGBITR;2019-03-07;Индекс Мосбиржи гос обл RGBITR;Индекс Мосбиржи государственных облигаций;489,85;489,55;489,85;489,52;9452102767,12;1887;8,27;2;4772768022380;RUB;1,000000
SNDX;RGBITR;2019-03-06;Индекс Мосбиржи гос обл RGBITR;Индекс Мосбиржи государственных облигаций;489,5;489,94;490,18;489,5;7524265040,47;1888;8,28;2;4780719141820;RUB;1,000000
SNDX;RGBITR;2019-03-05;Индекс Мосбиржи гос обл RGBITR;Индекс Мосбиржи государственных облигаций;489,82;490,19;490,33;489,8;11239155701,8;1886;8,26;2;4783823583560;RUB;1,000000
SNDX;RGBITR;2019-03-04;Индекс Мосбиржи гос обл RGBITR;Индекс Мосбиржи государственных облигаций;490,11;490,14;490,73;490,11;4103641179,68;1889;8,24;2;4786672003250;RUB;1,000000
SNDX;RGBITR;2019-03-01;Индекс Мосбиржи гос обл RGBITR;Индекс Мосбиржи государственных облигаций;489,82;489,18;489,82;489,18;9854846015,89;1892;8,25;2;4783803047840;RUB;1,000000


