TRADEDATE;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
02.04.2012;284.03;283.94;284.03;283.66;1112847811;;7.37;2;;RUB;
03.04.2012;284.09;284.25;284.31;283.98;1132300974;;7.33;2;;RUB;
04.04.2012;283.81;283.91;287.11;283.69;1585009421;;7.36;2;;RUB;
05.04.2012;283.85;283.96;284.12;283.85;6584582407;;7.39;2;;RUB;
06.04.2012;283.69;283.67;283.91;283.67;4198913121;;7.36;2;;RUB;
09.04.2012;283.37;283.66;283.7;283.37;1223254104;;7.45;2;;RUB;
10.04.2012;282.97;283.44;283.44;282.97;3138807490;;7.46;2;;RUB;
11.04.2012;282.89;283.19;283.19;282.74;1199166743;;7.46;2;;RUB;
12.04.2012;283.02;283.21;283.42;283.02;1413260177;;7.45;2;;RUB;
13.04.2012;282.96;282.91;283.14;282.91;1313699838;;7.46;2;;RUB;
16.04.2012;283;283.24;283.5;283;581995471;;7.5;2;;RUB;
17.04.2012;283.36;283.09;283.36;283.09;591496110;;7.45;2;;RUB;
18.04.2012;283.75;283.36;283.77;283.36;730845096;;7.44;2;;RUB;
19.04.2012;283.55;283.68;283.68;283.53;587600844;;7.49;2;;RUB;
20.04.2012;283.97;283.57;283.97;283.44;1794635221;;7.41;2;;RUB;
23.04.2012;283.86;283.57;284.19;283.57;1071335025;;7.47;2;;RUB;
24.04.2012;283.64;283.92;283.92;283.56;1674084855;;7.45;2;;RUB;
25.04.2012;283.9;283.75;284.01;283.74;602088221;;7.45;2;;RUB;
26.04.2012;284.09;283.95;284.14;283.94;1488460119;;7.42;2;;RUB;
27.04.2012;284.07;284.17;284.28;283.98;800940275;;7.43;2;;RUB;
28.04.2012;284.45;284.37;284.7;284.37;884265976;;7.44;2;;RUB;
02.05.2012;284.55;284.6;284.6;284.42;270367826;;7.43;2;;RUB;
03.05.2012;284.69;284.66;284.72;284.52;1110796652;;7.41;2;;RUB;
04.05.2012;284.65;284.78;284.86;284.65;989904658;;7.42;2;;RUB;
05.05.2012;284.27;284.72;284.72;284.27;274934025;;7.46;2;;RUB;
07.05.2012;284.56;284.56;284.56;284.56;1007;;8.23;2;;RUB;
08.05.2012;284.56;284.56;284.56;284.56;1007;;8.23;2;;RUB;
10.05.2012;284.21;284.53;284.53;284.21;324853353;;7.48;2;;RUB;
11.05.2012;283.89;284.48;284.48;283.83;711997161;;7.51;2;;RUB;
12.05.2012;284.2;284.23;284.58;284.16;59513403;;7.46;2;;RUB;
14.05.2012;282.88;284.24;284.24;282.88;1243333015;;7.62;2;;RUB;
15.05.2012;282.68;283.4;283.53;282.68;1159100258;;7.65;2;;RUB;
16.05.2012;281.33;283.3;283.3;281.31;1362506343;;7.83;2;;RUB;
17.05.2012;280.27;281.28;282.21;280.27;1581343458;;7.86;2;;RUB;
18.05.2012;279.65;281.37;281.79;279.5;1214778399;;7.98;2;;RUB;
21.05.2012;280.18;279.85;280.41;279.85;1538628620;;7.89;2;;RUB;
22.05.2012;280.84;280.44;280.84;280.1;1333920739;;7.84;2;;RUB;
23.05.2012;279.67;281.82;282.04;279.67;2234208137;;7.95;2;;RUB;
24.05.2012;279.25;279.75;279.85;279.06;2251396914;;8;2;;RUB;
25.05.2012;279.53;279.34;279.7;279.34;1393979473;;7.97;2;;RUB;
28.05.2012;279.71;280.98;280.98;279.51;770561167;;8.02;2;;RUB;
29.05.2012;279.91;280.22;280.23;279.77;1295186443;;8.01;2;;RUB;
30.05.2012;279.79;280.21;280.63;279.79;1285150971;;8.03;2;;RUB;
31.05.2012;279.01;280.23;280.42;278.87;1822327007;;8.02;2;;RUB;
01.06.2012;277.29;278.8;278.8;277.24;3004183470;;8.34;2;;RUB;
04.06.2012;278.29;278.01;278.34;277.94;1107627107;;8.24;2;;RUB;
05.06.2012;278.71;278.76;279.5;278.44;2364634562;;8.22;2;;RUB;
06.06.2012;280.38;278.48;280.42;278.48;1994656970;;8.1;2;;RUB;
07.06.2012;281.26;279.92;281.26;279.24;4070662228;;8.06;2;;RUB;
08.06.2012;280.32;280.53;281.52;280.27;1281938641;;8.09;2;;RUB;
09.06.2012;280.96;280.78;280.97;280.78;23060305;;8;2;;RUB;
13.06.2012;280.38;281.05;281.43;280.38;704475228;;8.14;2;;RUB;
14.06.2012;280.24;280.35;280.91;280.24;693602311;;8.15;2;;RUB;
15.06.2012;281.24;280.23;281.31;280.23;1217832331;;8.05;2;;RUB;
18.06.2012;281.43;281.49;282.39;281.42;1597772121;;8.15;2;;RUB;
19.06.2012;281.06;281.33;281.39;281.03;1527815058;;8.23;2;;RUB;
20.06.2012;280.97;281.39;281.76;280.93;1687636714;;8.12;2;;RUB;
21.06.2012;280.66;281.26;281.41;280.44;1519042628;;8.14;2;;RUB;
22.06.2012;280.62;280.68;281.09;280.62;968888278;;8.16;2;;RUB;
25.06.2012;280.75;281.07;281.24;280.71;1875307746;;8.15;2;;RUB;
26.06.2012;280.64;281.04;281.04;280.57;972660308;;8.18;2;;RUB;
27.06.2012;280.91;280.75;281;280.7;1240447500;;8.15;2;;RUB;
28.06.2012;280.81;281.23;281.23;280.5;1114146183;;8.24;2;;RUB;
29.06.2012;281.92;280.93;281.92;280.93;3368280420;;8.08;2;;RUB;
02.07.2012;283.77;281.99;283.77;281.99;3004988582;;7.92;2;;RUB;
03.07.2012;284.71;283.88;284.71;280.18;1331423947;;7.86;2;;RUB;
04.07.2012;285.53;284.35;285.53;283.43;1594537788;;7.79;2;;RUB;
05.07.2012;285.52;285.24;285.6;284.72;2674059275;;7.8;2;;RUB;
06.07.2012;285.2;284.81;285.41;284.7;2752699485;;7.82;2;;RUB;
09.07.2012;285.36;285.28;285.66;285.17;468026170;;7.82;2;;RUB;
10.07.2012;285.42;284.92;285.43;284.84;1135776280;;7.82;2;;RUB;
11.07.2012;285.53;285.34;285.53;285.24;557148383;;7.82;2;;RUB;
12.07.2012;286.25;285.52;286.27;285.18;1688991969;;7.76;2;;RUB;
13.07.2012;287.27;286.05;287.27;285;3113382576;;7.68;2;;RUB;
16.07.2012;288.97;287.46;288.97;285.26;1541929130;;7.57;2;;RUB;
17.07.2012;289.78;288.92;289.78;287.84;7880122440;;7.51;2;;RUB;
