TRADEDATE;OPEN;HIGH;LOW;CLOSE
04.01.2016;964.71;964.71;964.71;964.71
05.01.2016;970.2;970.2;970.2;970.2
06.01.2016;949.73;949.73;949.73;949.73
11.01.2016;901.15;901.15;901.15;901.15
12.01.2016;896.24;896.24;896.24;896.24
13.01.2016;894.09;894.09;894.09;894.09
14.01.2016;893.24;893.24;893.24;893.24
15.01.2016;841.67;841.67;841.67;841.67
18.01.2016;833.83;833.83;833.83;833.83
19.01.2016;851.09;851.09;851.09;851.09
20.01.2016;810;810;810;810
21.01.2016;814.78;814.78;814.78;814.78
22.01.2016;891.19;891.19;891.19;891.19
25.01.2016;878.66;878.66;878.66;878.66
26.01.2016;880.57;880.57;880.57;880.57
27.01.2016;908.7;908.7;908.7;908.7
28.01.2016;937.4;937.4;937.4;937.4
29.01.2016;960.82;960.82;960.82;960.82
01.02.2016;941.6;941.6;941.6;941.6
02.02.2016;903.98;903.98;903.98;903.98
03.02.2016;898.5;898.5;898.5;898.5
04.02.2016;952.47;952.47;952.47;952.47
05.02.2016;935.82;935.82;935.82;935.82
08.02.2016;907.62;907.62;907.62;907.62
09.02.2016;890.01;890.01;890.01;890.01
10.02.2016;898.05;898.05;898.05;898.05
11.02.2016;865.47;865.47;865.47;865.47
12.02.2016;889.4;889.4;889.4;889.4
15.02.2016;911.75;911.75;911.75;911.75
16.02.2016;913.52;913.52;913.52;913.52
17.02.2016;948.59;948.59;948.59;948.59
18.02.2016;970.6;970.6;970.6;970.6
19.02.2016;935.91;935.91;935.91;935.91
20.02.2016;944.9;944.9;944.9;944.9
22.02.2016;981.68;981.68;981.68;981.68
24.02.2016;951.06;951.06;951.06;951.06
25.02.2016;961.12;961.12;961.12;961.12
26.02.2016;976.48;976.48;976.48;976.48
29.02.2016;991.11;991.11;991.11;991.11
01.03.2016;1013.75;1013.75;1013.75;1013.75
02.03.2016;1005.76;1005.76;1005.76;1005.76
03.03.2016;1029.51;1029.51;1029.51;1029.51
04.03.2016;1054.86;1054.86;1054.86;1054.86
07.03.2016;1081.91;1081.91;1081.91;1081.91
09.03.2016;1077.28;1077.28;1077.28;1077.28
10.03.2016;1075.48;1075.48;1075.48;1075.48
11.03.2016;1090.11;1090.11;1090.11;1090.11
14.03.2016;1070.71;1070.71;1070.71;1070.71
15.03.2016;1059.23;1059.23;1059.23;1059.23
16.03.2016;1077.71;1077.71;1077.71;1077.71
17.03.2016;1126.48;1126.48;1126.48;1126.48
18.03.2016;1141.08;1141.08;1141.08;1141.08
21.03.2016;1139.11;1139.11;1139.11;1139.11
22.03.2016;1146.1;1146.1;1146.1;1146.1
23.03.2016;1115.65;1115.65;1115.65;1115.65
24.03.2016;1092.26;1092.26;1092.26;1092.26
25.03.2016;1111.55;1111.55;1111.55;1111.55
28.03.2016;1097.95;1097.95;1097.95;1097.95
29.03.2016;1087.31;1087.31;1087.31;1087.31
30.03.2016;1121.4;1121.4;1121.4;1121.4
31.03.2016;1129.57;1129.57;1129.57;1129.57
01.04.2016;1111.21;1111.21;1111.21;1111.21
04.04.2016;1110.96;1110.96;1110.96;1110.96
05.04.2016;1091.43;1091.43;1091.43;1091.43
06.04.2016;1112.93;1112.93;1112.93;1112.93
07.04.2016;1107.71;1107.71;1107.71;1107.71
08.04.2016;1133.27;1133.27;1133.27;1133.27
11.04.2016;1161.52;1161.52;1161.52;1161.52
12.04.2016;1174.53;1174.53;1174.53;1174.53
13.04.2016;1189.26;1189.26;1189.26;1189.26
14.04.2016;1178.74;1178.74;1178.74;1178.74
15.04.2016;1167.12;1167.12;1167.12;1167.12
18.04.2016;1160;1160;1160;1160
19.04.2016;1194.9;1194.9;1194.9;1194.9
20.04.2016;1216.2;1216.2;1216.2;1216.2
21.04.2016;1195.66;1195.66;1195.66;1195.66
22.04.2016;1201.11;1201.11;1201.11;1201.11
25.04.2016;1196.21;1196.21;1196.21;1196.21
26.04.2016;1200.77;1200.77;1200.77;1200.77
27.04.2016;1195.48;1195.48;1195.48;1195.48
28.04.2016;1243.64;1243.64;1243.64;1243.64
29.04.2016;1227.29;1227.29;1227.29;1227.29
04.05.2016;1177.57;1177.57;1177.57;1177.57
05.05.2016;1182.77;1182.77;1182.77;1182.77
06.05.2016;1176.95;1176.95;1176.95;1176.95
10.05.2016;1157.71;1157.71;1157.71;1157.71
11.05.2016;1196.28;1196.28;1196.28;1196.28
12.05.2016;1182.02;1182.02;1182.02;1182.02
13.05.2016;1190.71;1190.71;1190.71;1190.71
16.05.2016;1200.07;1200.07;1200.07;1200.07
17.05.2016;1203.44;1203.44;1203.44;1203.44
18.05.2016;1197.09;1197.09;1197.09;1197.09
19.05.2016;1143.62;1143.62;1143.62;1143.62
20.05.2016;1153.53;1153.53;1153.53;1153.53
23.05.2016;1136.04;1136.04;1136.04;1136.04
24.05.2016;1151.45;1151.45;1151.45;1151.45
25.05.2016;1172.85;1172.85;1172.85;1172.85
26.05.2016;1186.88;1186.88;1186.88;1186.88
27.05.2016;1185.24;1185.24;1185.24;1185.24
30.05.2016;1195.57;1195.57;1195.57;1195.57
31.05.2016;1168.21;1168.21;1168.21;1168.21
01.06.2016;1150.37;1150.37;1150.37;1150.37
02.06.2016;1144.44;1144.44;1144.44;1144.44
03.06.2016;1166.02;1166.02;1166.02;1166.02
06.06.2016;1192.26;1192.26;1192.26;1192.26
07.06.2016;1225.8;1225.8;1225.8;1225.8
