<DATE>,<TIME>,<LAST>,<VOL>,<ID>,<OPER>
20180417,000000,1346.0000000,1349.0000000,1335.5000000,1347.0000000,1190
20180418,000000,1366.0000000,1389.5000000,1357.5000000,1387.5000000,86
20180419,000000,1389.5000000,1389.5000000,1369.5000000,1375.5000000,226
20180420,000000,1378.5000000,1378.5000000,1368.0000000,1368.0000000,17
20180423,000000,1371.5000000,1377.0000000,1364.0000000,1377.0000000,2251
20180424,000000,1390.0000000,1390.0000000,1390.0000000,1390.0000000,1
20180425,000000,1383.5000000,1383.5000000,1383.5000000,1383.5000000,4
20180426,000000,1400.0000000,1400.0000000,1400.0000000,1400.0000000,1
20180427,000000,1408.5000000,1413.5000000,1408.5000000,1409.5000000,19
20180428,000000,1408.0000000,1408.0000000,1407.0000000,1407.0000000,3
20180430,000000,1413.0000000,1419.0000000,1413.0000000,1419.0000000,2005
20180502,000000,1419.0000000,1419.0000000,1417.0000000,1417.0000000,4002
20180503,000000,1419.0000000,1419.0000000,1404.0000000,1404.0000000,976
20180504,000000,1407.5000000,1407.5000000,1402.0000000,1402.0000000,952
20180507,000000,1421.5000000,1424.5000000,1412.0000000,1412.0000000,4503
20180508,000000,1403.5000000,1412.5000000,1403.5000000,1412.5000000,3158
20180510,000000,1426.0000000,1427.0000000,1421.0000000,1427.0000000,634
20180511,000000,1431.0000000,1441.0000000,1431.0000000,1439.5000000,1011
20180514,000000,1436.0000000,1449.0000000,1436.0000000,1449.0000000,454
20180515,000000,1460.5000000,1460.5000000,1439.5000000,1439.5000000,5474
20180516,000000,1439.0000000,1447.5000000,1439.0000000,1444.0000000,6253
20180517,000000,1443.0000000,1444.5000000,1438.0000000,1441.0000000,907
20180518,000000,1433.5000000,1440.0000000,1433.5000000,1440.0000000,913
20180521,000000,1440.0000000,1443.5000000,1438.5000000,1440.5000000,6339
20180522,000000,1434.0000000,1434.0000000,1431.5000000,1432.5000000,1158
20180523,000000,1419.0000000,1422.5000000,1417.0000000,1417.0000000,1689
20180524,000000,1420.5000000,1420.5000000,1414.5000000,1414.5000000,767
20180525,000000,1418.0000000,1418.0000000,1417.5000000,1417.5000000,2
20180528,000000,1420.5000000,1424.0000000,1420.5000000,1424.0000000,6
20180529,000000,1424.0000000,1424.0000000,1415.0000000,1415.5000000,666
20180530,000000,1400.0000000,1420.0000000,1400.0000000,1412.0000000,333
20180531,000000,1425.0000000,1425.0000000,1415.0000000,1415.0000000,2692
20180601,000000,1418.5000000,1421.0000000,1418.5000000,1421.0000000,1912
20180604,000000,1429.0000000,1429.0000000,1427.5000000,1427.5000000,494
20180605,000000,1433.0000000,1433.0000000,1429.0000000,1429.0000000,1445
20180606,000000,1429.0000000,1429.0000000,1421.0000000,1421.0000000,2373
20180607,000000,1430.5000000,1430.5000000,1430.5000000,1430.5000000,850
20180608,000000,1429.5000000,1429.5000000,1403.0000000,1403.0000000,1365
20180609,000000,1406.5000000,1407.0000000,1406.5000000,1407.0000000,302
20180611,000000,1401.5000000,1401.5000000,1396.5000000,1401.0000000,454
20180613,000000,1407.5000000,1407.5000000,1402.0000000,1407.5000000,3374
20180614,000000,1407.0000000,1407.0000000,1391.0000000,1393.5000000,444
20180615,000000,1395.5000000,1395.5000000,1387.0000000,1387.0000000,460
20180618,000000,1382.0000000,1386.0000000,1382.0000000,1386.0000000,951
20180619,000000,1366.0000000,1377.0000000,1359.5000000,1377.0000000,11921
20180620,000000,1394.0000000,1395.0000000,1394.0000000,1395.0000000,451
20180621,000000,1402.5000000,1402.5000000,1392.0000000,1392.0000000,601
20180622,000000,1402.5000000,1402.5000000,1391.0000000,1391.0000000,453
20180625,000000,1404.0000000,1404.0000000,1398.0000000,1398.0000000,1715
20180626,000000,1398.5000000,1398.5000000,1394.5000000,1394.5000000,451
20180627,000000,1399.0000000,1412.0000000,1392.0000000,1409.5000000,1294
20180628,000000,1412.0000000,1413.5000000,1406.0000000,1406.0000000,2476
20180629,000000,1425.0000000,1425.0000000,1423.0000000,1423.5000000,951
20180702,000000,1432.0000000,1450.5000000,1432.0000000,1450.5000000,6936
20180703,000000,1452.0000000,1452.0000000,1439.0000000,1439.0000000,1340
20180704,000000,1441.5000000,1443.0000000,1439.0000000,1439.0000000,504
20180705,000000,1441.5000000,1465.0000000,1441.5000000,1465.0000000,918
20180706,000000,1465.0000000,1474.5000000,1458.0000000,1474.5000000,534
20180709,000000,1480.5000000,1488.0000000,1478.5000000,1488.0000000,2362
20180710,000000,1489.0000000,1497.0000000,1487.0000000,1487.0000000,5218
20180711,000000,1484.0000000,1484.0000000,1465.5000000,1469.5000000,4246
20180712,000000,1466.5000000,1466.5000000,1459.0000000,1459.5000000,1987
20180713,000000,1469.0000000,1474.5000000,1468.0000000,1472.0000000,1591
20180716,000000,1478.5000000,1478.5000000,1468.5000000,1468.5000000,6050
20180717,000000,1456.5000000,1457.5000000,1453.0000000,1457.5000000,510
20180718,000000,1459.5000000,1461.5000000,1457.5000000,1457.5000000,4408
20180719,000000,1460.0000000,1462.0000000,1446.0000000,1450.0000000,14126
