,Tiker,code
0,ABRD,82460
1,AESL,181867
2,AFKS,19715
3,AFLT,29
4,AGRO,399716
5,AKRN,17564
6,ALBK,82616
7,ALNU,81882
8,ALRS,81820
9,AMEZ,20702
10,APTK,13855
11,AQUA,35238
12,ARMD,19676
13,ARSA,19915
14,ASSB,16452
15,AVAN,82843
16,AVAZ,39
17,AVAZP,40
18,BANE,81757
19,BANEP,81758
20,BGDE,175840
21,BISV,35242
22,BISVP,35243
23,BLNG,21078
24,BRZL,81901
25,BSPB,20066
26,CBOM,420694
27,CHEP,20999
28,CHGZ,81933
29,CHKZ,21000
30,CHMF,16136
31,CHMK,21001
32,CHZN,19960
33,CLSB,16712
34,CLSBP,16713
35,CNTL,21002
36,CNTLP,81575
37,DASB,16825
38,DGBZ,17919
39,DIOD,35363
40,DIXY,18564
41,DVEC,19724
42,DZRD,74744
43,DZRDP,74745
44,ELTZ,81934
45,ENRU,16440
46,EPLN,451471
47,ERCO,81935
48,FEES,20509
49,FESH,20708
50,FORTP,82164
51,GAZA,81997
52,GAZAP,81998
53,GAZC,81398
54,GAZP,16842
55,GAZS,81399
56,GAZT,82115
57,GCHE,20125
58,GMKN,795
59,GRAZ,16610
60,GRNT,449114
61,GTLC,152876
62,GTPR,175842
63,GTSS,436120
64,HALS,17698
65,HIMC,81939
66,HIMCP,81940
67,HYDR,20266
68,IDJT,388276
69,IDVP,409486
70,IGST,81885
71,IGST03,81886
72,IGSTP,81887
73,IRAO,20516
74,IRGZ,9
75,IRKT,15547
76,ISKJ,17137
77,JNOS,15722
78,JNOSP,15723
79,KAZT,81941
80,KAZTP,81942
81,KBSB,19916
82,KBTK,35285
83,KCHE,20030
84,KCHEP,20498
85,KGKC,83261
86,KGKCP,152350
87,KLSB,16329
88,KMAZ,15544
89,KMEZ,22525
90,KMTZ,81903
91,KOGK,20710
92,KRKN,81891
93,KRKNP,81892
94,KRKO,81905
95,KRKOP,81906
96,KROT,510
97,KROTP,511
98,KRSB,20912
99,KRSBP,20913
100,KRSG,15518
101,KSGR,75094
102,KTSB,16284
103,KTSBP,16285
104,KUBE,522
105,KUNF,81943
106,KUZB,83165
107,KZMS,17359
108,KZOS,81856
109,KZOSP,81857
110,LIFE,74584
111,LKOH,8
112,LNTA,385792
113,LNZL,21004
114,LNZLP,22094
115,LPSB,16276
116,LSNG,31
117,LSNGP,542
118,LSRG,19736
119,LVHK,152517
120,MAGE,74562
121,MAGEP,74563
122,MAGN,16782
123,MERF,20947
124,MFGS,30
125,MFGSP,51
126,MFON,152516
127,MGNT,17086
128,MGNZ,20892
129,MGTS,12984
130,MGTSP,12983
131,MGVM,81829
132,MISB,16330
133,MISBP,16331
134,MNFD,80390
