Date,SBER,GMKN,GAZP,LKOH,ROSN,SNGS,ALRS,NVTK,MGNT,TATN,VTBR,MOEX,NLMK,SBERP,AFLT,CHMF,MTSS,MAGN,RUAL,PLZL,TRNFP,TATNP,SNGSP,HYDR,FIVE,YNDX,SIBN,GCHE,IRAO,RASP,UPRO,POLY,FEES,PHOR,TGKA,BANEP,MTLR,DSKY,AFKS,RTKM,PIKK,MRKV,LSNGP,MRKP,MVID,LNTA,MRKY,CBOM,NKNCP,NKNC,RSTI,RNFT,MSNG,MTLRP,LSRG,TRMK,MRKC,OGKB,KUBE,PRTK,MRKZ,ENRU,PLSM,MRKS,QIWI,PRFN,AKRN,NMTP,AGRO,ELTZ,FTRE,GRNT,OMZZP,RTKMP,ALNU,VDSB,UWGN,MGVM,MFON,BSPB,MSTT,BANE,TTLK,RUSI,URKA,MSST,IRKT,APTK,GTLC,KMAZ,TRCN,KBTK,LNZLP,VZRZP,KZOS,RSTIP,LSNG,KRKNP,TANL,CHKZ,MRKU,STSB,VJGZ,ALBK,RBCM,SVAV,RGSS,SLEN,KLSB,MSRS,LPSB,HIMCP,SELGP,RKKE,KZOSP,SELG,KOGK,VSMO,CHEP,VZRZ,NKHP,ROLO,CHGZ,STSBP,VGSB,CLSB,YKEN,VGSBP,MOBB,VJGZP,NSVZ,IRGZ,CNTLP,TGKD,MGTSP,RLMN,UNAC,PMSBP,DASB,DZRDP,TORSP,DVEC,KAZT,RUGR,DIOD,KRKOP,AQUA,TGKB,ASSB,KROT,LVHK,MFGS,ARMD,BLNG,MAGE,LNZL,AVAN,SIBG,GAZAP,AMEZ,PMSB,TUCH,WTCMP,PRMB,KMEZ,MRKK,NAUK,VLHZ,FESH,LIFE,BRZL,MRSB,GAZA,RUSP,RZSB,CHMK,NFAZ,CNTL,RTGZ,TASB,IGST,TGKBP,MGNZ,YAKG,KTSBP,ZVEZ,ROSB,VSYD,KRSBP,KCHEP,YKENP,USBN,ODVA,ABRD,MGTS,UTAR,RTSB,SZPR,RLMNP,VRSBP,SAGO,ROST,MAGEP,URKZ,CLSBP,YRSBP,ARSA,NNSB,TGKN,PAZA,TASBP,KROTP,TGKDP,KTSB,OPIN,KUZB,TORS,KCHE,UCSS,SARE,NKSH,RTSBP,KRSB,ISKJ,KRKN,TUZA,UNKL,BISVP,VSYDP,WTCM,HALS,NNSBP,MISB,KAZTP,ZILL,SAREP,MISBP,MFGSP,UKUZ,IGSTP,DZRD,VRSB,SAGOP,JNOS,JNOSP,KBSB,TNSE,KMTZ,MERF,YRSB,RDRB,GTPR,KRKO,GTSS,HIMC,UTSY,KSGR,NPOF,TANLP,IDVP,MNFD,KUNF,MORI,KZMS,TGKO,VTRS,AVAZ,AVAZP,KGKC,GAZC,KGKCP,BISV,GAZS,GAZT
2012-01-03,82.41,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138,26.138
2012-01-04,83.52,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13,26.13
2012-01-05,82.55,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841,25.841
2012-01-06,83.2,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
2012-01-09,83.88,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92
2012-01-10,86.81,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35
2012-01-11,84.85,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288,26.288
2012-01-12,84.3,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301,26.301
2012-01-13,83.6,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05
2012-01-16,83.95,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997,25.997
