,Tiket,Weights
2,LKOH.ME,0.10209547876407427
5,NVTK.ME,0.011716640283518863
10,SNGSP.ME,0.00852740528670515
15,FIVE.ME,0.014124998472722566
16,CHMF.ME,0.026744012306066503
28,RTKMP.ME,0.03466946548203679
32,HYDR.ME,0.055344653676403927
56,ENRU.ME,0.09082950643535678
59,OGKB.ME,0.011612513801541767
62,KBTK.ME,0.0007754374963752803
63,TGKA.ME,0.07897404093274911
64,QIWI.ME,0.025786982120786582
65,NKNCP.ME,0.07877571814971106
68,MRKC.ME,0.10174195135013604
73,SELG.ME,0.018479864737336395
81,MSTT.ME,0.23302063396790929
84,LNZL.ME,0.10678069673907303
